Frame id, 2868220, Hands, 0, Fingers, 0
Frame id, 2868221, Hands, 0, Fingers, 0
Frame id, 2868222, Hands, 0, Fingers, 0
Frame id, 2868223, Hands, 0, Fingers, 0
Frame id, 2868224, Hands, 0, Fingers, 0
Frame id, 2868225, Hands, 0, Fingers, 0
Frame id, 2868226, Hands, 0, Fingers, 0
Frame id, 2868227, Hands, 0, Fingers, 0
Frame id, 2868228, Hands, 0, Fingers, 0
Frame id, 2868229, Hands, 0, Fingers, 0
Frame id, 2868230, Hands, 0, Fingers, 0
Frame id, 2868231, Hands, 0, Fingers, 0
Frame id, 2868232, Hands, 0, Fingers, 0
Frame id, 2868233, Hands, 0, Fingers, 0
Frame id, 2868234, Hands, 0, Fingers, 0
Frame id, 2868235, Hands, 0, Fingers, 0
Frame id, 2868236, Hands, 0, Fingers, 0
Frame id, 2868237, Hands, 0, Fingers, 0
Frame id, 2868238, Hands, 0, Fingers, 0
Frame id, 2868239, Hands, 0, Fingers, 0
Frame id, 2868240, Hands, 0, Fingers, 0
Frame id, 2868241, Hands, 0, Fingers, 0
Frame id, 2868242, Hands, 0, Fingers, 0
Frame id, 2868243, Hands, 0, Fingers, 0
Frame id, 2868244, Hands, 0, Fingers, 0
Frame id, 2868245, Hands, 0, Fingers, 0
Frame id, 2868246, Hands, 0, Fingers, 0
Frame id, 2868247, Hands, 0, Fingers, 0
Frame id, 2868248, Hands, 0, Fingers, 0
Frame id, 2868249, Hands, 0, Fingers, 0
Frame id, 2868250, Hands, 0, Fingers, 0
Frame id, 2868251, Hands, 0, Fingers, 0
Frame id, 2868252, Hands, 0, Fingers, 0
Frame id, 2868253, Hands, 0, Fingers, 0
Frame id, 2868254, Hands, 0, Fingers, 0
Frame id, 2868255, Hands, 1, Fingers, 2, Hand, Right, HandID, 28, roll, -31.6014
Frame id, 2868256, Hands, 1, Fingers, 2, Hand, Right, HandID, 28, roll, -23.6939
Frame id, 2868257, Hands, 1, Fingers, 4, Hand, Right, HandID, 28, roll, -21.9499
Frame id, 2868258, Hands, 1, Fingers, 4, Hand, Right, HandID, 28, roll, -21.1569
Frame id, 2868259, Hands, 1, Fingers, 4, Hand, Right, HandID, 28, roll, -20.5552
Frame id, 2868260, Hands, 1, Fingers, 4, Hand, Right, HandID, 28, roll, -20.3318
Frame id, 2868261, Hands, 1, Fingers, 4, Hand, Right, HandID, 28, roll, -20.238
Frame id, 2868262, Hands, 1, Fingers, 4, Hand, Right, HandID, 28, roll, -20.0859
Frame id, 2868263, Hands, 1, Fingers, 4, Hand, Right, HandID, 28, roll, -20.2392
Frame id, 2868264, Hands, 1, Fingers, 3, Hand, Right, HandID, 28, roll, -20.4599
Frame id, 2868265, Hands, 1, Fingers, 4, Hand, Right, HandID, 28, roll, -20.404
Frame id, 2868266, Hands, 1, Fingers, 4, Hand, Right, HandID, 28, roll, -19.3882
